1.56996 0.523991
1.56744 0.525165
1.56325 0.527118
1.55739 0.52984
1.54986 0.533319
1.54068 0.537537
1.52985 0.542471
1.51739 0.548094
1.50332 0.554375
1.48765 0.561275
1.4704 0.568754
1.45159 0.576763
1.43125 0.585249
1.40941 0.594152
1.38608 0.603407
1.36131 0.612941
1.33512 0.622676
1.30755 0.632526
1.27865 0.6424
1.24845 0.652197
1.217 0.661809
1.18435 0.671123
1.15056 0.680017
1.11569 0.688362
1.07979 0.696021
1.04295 0.702851
1.00524 0.708704
0.966737 0.713426
0.92754 0.716858
0.887743 0.718838
0.847451 0.719201
0.806771 0.717784
0.765822 0.714424
0.724722 0.70896
0.683597 0.701238
0.642573 0.691109
0.601779 0.678432
0.561342 0.66308
0.521386 0.644932
0.48203 0.623884
0.443387 0.599842
0.405559 0.572727
0.368639 0.542471
0.332705 0.509019
0.297821 0.472324
0.264034 0.432345
0.231375 0.389044
0.199854 0.342376
0.169464 0.292281
0.140174 0.238669
0.111935 0.181384
0.0846645 0.120154
0.0582287 0.054462
0.0322186 -0.0167379
-0.00141147 -0.084353
-0.0427471 -0.145615
-0.0844123 -0.207102
-0.126861 -0.268042
-0.170455 -0.327837
-0.215522 -0.385945
-0.262364 -0.441852
-0.311251 -0.495068
-0.362417 -0.545125
-0.416054 -0.591582
-0.472309 -0.634025
-0.531275 -0.672078
-0.59299 -0.705404
-0.657434 -0.733717
-0.724529 -0.756791
-0.794137 -0.774463
-0.866075 -0.786641
-0.940111 -0.793311
-1.01599 -0.794531
-1.09341 -0.790436
-1.17211 -0.781222
-1.25179 -0.767142
-1.3322 -0.74849
-1.41311 -0.725585
-1.49432 -0.698758
-1.57568 -0.66834
-1.65708 -0.634649
-1.73846 -0.597982
-1.8198 -0.558611
-1.9011 -0.516777
-1.98244 -0.472692
-2.0639 -0.426539
-2.14561 -0.378473
-2.22773 -0.328631
-2.31048 -0.277135
-2.39407 -0.224114
-2.4788 -0.169724
-2.56496 -0.114188
-2.65286 -0.0578695
-2.74278 -0.0013838
-2.83485 0.0542323
-2.9289 0.107318
-3.02419 0.155545
-3.11935 0.196584
-3.21303 0.230028
-3.30523 0.25871
-3.39702 0.285927
-3.48902 0.312659
-3.58135 0.338623
-3.67403 0.363458
-3.76706 0.386822
-3.86045 0.408375
-3.95415 0.427768
-4.04813 0.444635
-4.14229 0.458587
-4.23651 0.469222
-4.33066 0.476121
-4.42454 0.478861
-4.51794 0.477027
-4.61061 0.470231
-4.7023 0.45813
-4.79274 0.440454
-4.88169 0.417031
-4.96891 0.38781
-5.05426 0.35289
-5.13763 0.312533
-5.21903 0.267178
-5.29855 0.217443
-5.3764 0.164111
-5.45285 0.108112
-5.52824 0.0504828
-5.60295 -0.00768675
-5.67729 -0.0653362
-5.75148 -0.121549
-5.82552 -0.175735
-5.89906 -0.227929
-5.97121 -0.279289
-6.04068 -0.332514
-6.10663 -0.390971
-6.16955 -0.456462
-6.23112 -0.528352
-6.29326 -0.604669
-6.35777 -0.683119
-6.42628 -0.761411
-6.50028 -0.837295
-6.58114 -0.908534
-6.67006 -0.972875
-6.76802 -1.02805
-6.87571 -1.07179
-6.99341 -1.10195
-7.12093 -1.11661
-7.25758 -1.11428
-7.40222 -1.09406
-7.5535 -1.05574
-7.71016 -0.999648
-7.8714 -0.926372
-8.03719 -0.836314
-8.20858 -0.729219
-8.38807 -0.603634
-8.58039 -0.456181
-8.79446 -0.280478
-9.04793 -0.066815
-9.37331 0.174593
-9.69437 0.16043
-10.0992 0.00636322
-10.643 -0.0297997
-11.1976 -0.0626661
-11.7667 -0.071476
-12.3553 -0.0443788
-13.0031 0.0218017
-13.6655 0.109992
-14.2722 0.171056
-14.8347 0.15926
-15.3496 0.0679505
-15.8073 -0.0442432
-16.2661 -0.239157
-16.822 -0.506644
-17.5588 -0.562219
-18.5237 -0.183426
-20.5982 1.43366
-23.6357 1.6118
-26.3088 -3.42633
-24.3032 -8.01508
-17.9426 -5.668
13.9628 -33.4263
209.368 535.465
-46785.5 213785
-7.05537e+09 2.47342e+10
1.01668e+20 -8.3275e+20
3.69937e+41 -6.13165e+41
3.14372e+82 -1.92244e+83
-9.30115e+165 2.40592e+166
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
-nan -nan
nan nan
